index,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,colour,target
48,6.4,0.4,0.23,0.066,12.0,0.9958,3.34,0.56,9.2,5,1,0
49,5.6,0.31,0.37,0.074,96.0,0.9954,3.32,0.58,9.2,5,1,0
50,8.8,0.66,0.26,0.074,23.0,0.9971,3.15,0.74,9.2,5,1,0
51,6.6,0.52,0.04,0.069,15.0,0.9956,3.4,0.63,9.4,6,1,1
52,6.6,0.5,0.04,0.068,14.0,0.9955,3.39,0.64,9.4,6,1,1
53,8.6,0.38,0.36,0.081,119.0,0.997,3.2,0.56,9.4,5,1,0
54,7.6,0.51,0.15,0.11,73.0,0.9955,3.17,0.63,10.2,6,1,1
55,7.7,0.62,0.04,0.084,45.0,0.9978,3.34,0.53,9.5,5,1,0
56,10.2,0.42,0.57,0.07,10.0,0.9971,3.04,0.63,9.6,5,1,0
57,7.5,0.63,0.12,0.111,110.0,0.9983,3.26,0.77,9.4,5,1,0
58,7.8,0.59,0.18,0.076,54.0,0.9975,3.43,0.59,10.0,5,1,0
59,7.3,0.39,0.31,0.074,46.0,0.9962,3.41,0.54,9.4,6,1,1
60,8.8,0.4,0.4,0.079,52.0,0.998,3.44,0.64,9.2,5,1,0
61,7.7,0.69,0.49,0.115,112.0,0.9968,3.21,0.71,9.3,5,1,0
62,7.5,0.52,0.16,0.085,35.0,0.9968,3.38,0.62,9.5,7,1,1
63,7.0,0.735,0.05,0.081,54.0,0.9966,3.39,0.57,9.8,5,1,0
64,7.2,0.725,0.05,0.086,11.0,0.9962,3.41,0.39,10.9,5,1,0
65,7.2,0.725,0.05,0.086,11.0,0.9962,3.41,0.39,10.9,5,1,0
66,7.5,0.52,0.11,0.079,39.0,0.9968,3.42,0.58,9.6,5,1,0
67,6.6,0.705,0.07,0.076,15.0,0.9962,3.44,0.58,10.7,5,1,0
68,9.3,0.32,0.57,0.074,65.0,0.9969,3.28,0.79,10.7,5,1,0
69,8.0,0.705,0.05,0.074,19.0,0.9962,3.34,0.95,10.5,6,1,1
70,7.7,0.63,0.08,0.076,27.0,0.9967,3.32,0.54,9.5,6,1,1
71,7.7,0.67,0.23,0.088,96.0,0.9962,3.32,0.48,9.5,5,1,0
72,7.7,0.69,0.22,0.084,94.0,0.9961,3.31,0.48,9.5,5,1,0
73,8.3,0.675,0.26,0.084,43.0,0.9976,3.31,0.53,9.2,4,1,0
74,9.7,0.32,0.54,0.094,83.0,0.9984,3.28,0.82,9.6,5,1,0
75,8.8,0.41,0.64,0.093,42.0,0.9986,3.54,0.66,10.5,5,1,0
76,8.8,0.41,0.64,0.093,42.0,0.9986,3.54,0.66,10.5,5,1,0
77,6.8,0.785,0.0,0.104,30.0,0.9966,3.52,0.55,10.7,6,1,1
78,6.7,0.75,0.12,0.086,80.0,0.9958,3.38,0.52,10.1,5,1,0
79,8.3,0.625,0.2,0.08,119.0,0.9972,3.16,1.12,9.1,4,1,0
80,6.2,0.45,0.2,0.069,15.0,0.9958,3.41,0.56,9.2,5,1,0
81,7.8,0.43,0.7,0.464,67.0,0.9974,3.13,1.28,9.4,5,1,0
82,7.4,0.5,0.47,0.086,73.0,0.997,3.36,0.57,9.1,5,1,0
83,7.3,0.67,0.26,0.401,51.0,0.9969,3.16,1.14,9.4,5,1,0
84,6.3,0.3,0.48,0.069,61.0,0.9959,3.44,0.78,10.3,6,1,1
85,6.9,0.55,0.15,0.076,40.0,0.9961,3.41,0.59,10.1,5,1,0
86,8.6,0.49,0.28,0.11,136.0,0.9972,2.93,1.95,9.9,6,1,1
87,7.7,0.49,0.26,0.062,31.0,0.9966,3.39,0.64,9.6,5,1,0
88,9.3,0.39,0.44,0.107,125.0,0.9978,3.14,1.22,9.5,5,1,0
89,7.0,0.62,0.08,0.076,24.0,0.9978,3.48,0.53,9.0,5,1,0
90,7.9,0.52,0.26,0.079,140.0,0.9964,3.23,0.54,9.5,5,1,0
91,8.6,0.49,0.28,0.11,136.0,0.9972,2.93,1.95,9.9,6,1,1
92,8.6,0.49,0.29,0.11,133.0,0.9972,2.93,1.98,9.8,5,1,0
93,7.7,0.49,0.26,0.062,31.0,0.9966,3.39,0.64,9.6,5,1,0
94,5.0,1.02,0.04,0.045,85.0,0.9938,3.75,0.48,10.5,4,1,0
95,4.7,0.6,0.17,0.058,106.0,0.9932,3.85,0.6,12.9,6,1,1
96,6.8,0.775,0.0,0.102,23.0,0.9965,3.45,0.56,10.7,5,1,0
97,7.0,0.5,0.25,0.07,22.0,0.9963,3.25,0.63,9.2,5,1,0
98,7.6,0.9,0.06,0.079,10.0,0.9967,3.39,0.56,9.8,5,1,0
99,8.1,0.545,0.18,0.08,35.0,0.9972,3.3,0.59,9.0,6,1,1
100,8.3,0.61,0.3,0.084,50.0,0.9972,3.4,0.61,10.2,6,1,1
101,7.8,0.5,0.3,0.075,22.0,0.9959,3.31,0.56,10.4,6,1,1
102,8.1,0.545,0.18,0.08,35.0,0.9972,3.3,0.59,9.0,6,1,1
103,8.1,0.575,0.22,0.077,65.0,0.9967,3.29,0.51,9.2,5,1,0
104,7.2,0.49,0.24,0.07,36.0,0.996,3.33,0.48,9.4,5,1,0
105,8.1,0.575,0.22,0.077,65.0,0.9967,3.29,0.51,9.2,5,1,0
106,7.8,0.41,0.68,0.467,69.0,0.9973,3.08,1.31,9.3,5,1,0
107,6.2,0.63,0.31,0.088,64.0,0.9969,3.46,0.79,9.3,5,1,0
108,8.0,0.33,0.53,0.091,80.0,0.9976,3.37,0.8,9.6,6,1,1
109,8.1,0.785,0.52,0.122,153.0,0.9969,3.21,0.69,9.3,5,1,0
110,7.8,0.56,0.19,0.104,47.0,0.9964,3.19,0.93,9.5,5,1,0
111,8.4,0.62,0.09,0.084,108.0,0.9964,3.15,0.66,9.8,5,1,0
112,8.4,0.6,0.1,0.085,111.0,0.9964,3.15,0.66,9.8,5,1,0
113,10.1,0.31,0.44,0.08,46.0,0.9988,3.32,0.67,9.7,6,1,1
114,7.8,0.56,0.19,0.104,47.0,0.9964,3.19,0.93,9.5,5,1,0
115,9.4,0.4,0.31,0.09,62.0,0.9966,3.07,0.63,10.5,6,1,1
116,8.3,0.54,0.28,0.077,40.0,0.9978,3.39,0.61,10.0,6,1,1
117,7.8,0.56,0.12,0.082,28.0,0.997,3.37,0.5,9.4,6,1,1
118,8.8,0.55,0.04,0.119,56.0,0.9962,3.21,0.6,10.9,6,1,1
119,7.0,0.69,0.08,0.097,89.0,0.9959,3.34,0.54,9.2,6,1,1
120,7.3,1.07,0.09,0.178,89.0,0.9962,3.3,0.57,9.0,5,1,0
121,8.8,0.55,0.04,0.119,56.0,0.9962,3.21,0.6,10.9,6,1,1
122,7.3,0.695,0.0,0.075,13.0,0.998,3.49,0.52,9.2,5,1,0
123,8.0,0.71,0.0,0.08,34.0,0.9976,3.44,0.53,9.5,5,1,0
124,7.8,0.5,0.17,0.082,102.0,0.996,3.39,0.48,9.5,5,1,0
125,9.0,0.62,0.04,0.146,90.0,0.9984,3.16,0.7,9.4,5,1,0
126,8.2,1.33,0.0,0.081,12.0,0.9964,3.53,0.49,10.9,5,1,0
127,8.1,1.33,0.0,0.082,12.0,0.9964,3.54,0.48,10.9,5,1,0
128,8.0,0.59,0.16,0.065,16.0,0.9962,3.42,0.92,10.5,7,1,1
129,6.1,0.38,0.15,0.072,19.0,0.9955,3.42,0.57,9.4,5,1,0
130,8.0,0.745,0.56,0.118,134.0,0.9968,3.24,0.66,9.4,5,1,0
131,5.6,0.5,0.09,0.049,99.0,0.9937,3.63,0.63,13.0,5,1,0
132,5.6,0.5,0.09,0.049,99.0,0.9937,3.63,0.63,13.0,5,1,0
133,6.6,0.5,0.01,0.06,26.0,0.9952,3.4,0.58,9.8,6,1,1
134,7.9,1.04,0.05,0.084,29.0,0.9959,3.22,0.55,9.9,6,1,1
135,8.4,0.745,0.11,0.09,63.0,0.9965,3.19,0.82,9.6,5,1,0
136,8.3,0.715,0.15,0.089,52.0,0.9968,3.23,0.77,9.5,5,1,0
137,7.2,0.415,0.36,0.081,45.0,0.9972,3.48,0.64,9.2,5,1,0
138,7.8,0.56,0.19,0.081,105.0,0.9962,3.33,0.54,9.5,5,1,0
139,7.8,0.56,0.19,0.081,108.0,0.9962,3.32,0.54,9.5,5,1,0
140,8.4,0.745,0.11,0.09,63.0,0.9965,3.19,0.82,9.6,5,1,0
141,8.3,0.715,0.15,0.089,52.0,0.9968,3.23,0.77,9.5,5,1,0
142,5.2,0.34,0.0,0.05,63.0,0.9916,3.68,0.79,14.0,6,1,1
143,6.3,0.39,0.08,0.066,20.0,0.9954,3.34,0.58,9.4,5,1,0
144,5.2,0.34,0.0,0.05,63.0,0.9916,3.68,0.79,14.0,6,1,1
145,8.1,0.67,0.55,0.117,141.0,0.9968,3.17,0.62,9.4,5,1,0
146,5.8,0.68,0.02,0.087,94.0,0.9944,3.54,0.52,10.0,5,1,0
147,7.6,0.49,0.26,0.236,88.0,0.9968,3.11,0.8,9.3,5,1,0
148,6.9,0.49,0.1,0.074,30.0,0.9959,3.42,0.58,10.2,6,1,1
149,8.2,0.4,0.44,0.089,43.0,0.9975,3.53,0.61,10.5,6,1,1
150,7.3,0.33,0.47,0.077,11.0,0.9958,3.33,0.53,10.3,6,1,1
151,9.2,0.52,1.0,0.61,69.0,0.9996,2.74,2.0,9.4,4,1,0
152,7.5,0.6,0.03,0.095,99.0,0.995,3.35,0.54,10.1,5,1,0
153,7.5,0.6,0.03,0.095,99.0,0.995,3.35,0.54,10.1,5,1,0
154,7.1,0.43,0.42,0.07,129.0,0.9973,3.42,0.72,10.5,5,1,0
155,7.1,0.43,0.42,0.071,128.0,0.9973,3.42,0.71,10.5,5,1,0
156,7.1,0.43,0.42,0.07,129.0,0.9973,3.42,0.72,10.5,5,1,0
157,7.1,0.43,0.42,0.071,128.0,0.9973,3.42,0.71,10.5,5,1,0
158,7.1,0.68,0.0,0.073,22.0,0.9969,3.48,0.5,9.3,5,1,0
159,6.8,0.6,0.18,0.079,86.0,0.9968,3.59,0.57,9.3,6,1,1
160,7.6,0.95,0.03,0.09,20.0,0.9959,3.2,0.56,9.6,5,1,0
161,7.6,0.68,0.02,0.072,20.0,0.9965,3.17,1.08,9.2,4,1,0
162,7.8,0.53,0.04,0.076,31.0,0.9964,3.33,0.56,10.0,6,1,1
163,7.4,0.6,0.26,0.07,121.0,0.9982,3.37,0.49,9.4,5,1,0
164,7.3,0.59,0.26,0.07,121.0,0.9981,3.37,0.49,9.4,5,1,0
165,7.8,0.63,0.48,0.1,96.0,0.9961,3.19,0.62,9.5,5,1,0
166,6.8,0.64,0.1,0.085,101.0,0.9956,3.34,0.52,10.2,5,1,0
167,7.3,0.55,0.03,0.072,42.0,0.9956,3.37,0.48,9.0,4,1,0
168,6.8,0.63,0.07,0.089,44.0,0.9953,3.47,0.55,10.4,6,1,1
169,7.5,0.705,0.24,0.36,63.0,0.9964,3.0,1.59,9.5,5,1,0
170,7.9,0.885,0.03,0.058,8.0,0.9972,3.36,0.33,9.1,4,1,0
171,8.0,0.42,0.17,0.073,18.0,0.9972,3.29,0.61,9.2,6,1,1
172,8.0,0.42,0.17,0.073,18.0,0.9972,3.29,0.61,9.2,6,1,1
173,7.4,0.62,0.05,0.068,42.0,0.9961,3.42,0.57,11.5,6,1,1
174,7.3,0.38,0.21,0.08,35.0,0.9961,3.33,0.47,9.5,5,1,0
175,6.9,0.5,0.04,0.085,49.0,0.9958,3.35,0.78,9.5,5,1,0
176,7.3,0.38,0.21,0.08,35.0,0.9961,3.33,0.47,9.5,5,1,0
177,7.5,0.52,0.42,0.087,38.0,0.9972,3.58,0.61,10.5,6,1,1
178,7.0,0.805,0.0,0.068,20.0,0.9969,3.48,0.56,9.6,5,1,0
179,8.8,0.61,0.14,0.067,42.0,0.9969,3.19,0.59,9.5,5,1,0
180,8.8,0.61,0.14,0.067,42.0,0.9969,3.19,0.59,9.5,5,1,0
181,8.9,0.61,0.49,0.27,110.0,0.9972,3.12,1.02,9.3,5,1,0
182,7.2,0.73,0.02,0.076,42.0,0.9972,3.44,0.52,9.3,5,1,0
183,6.8,0.61,0.2,0.077,65.0,0.9971,3.54,0.58,9.3,5,1,0
184,6.7,0.62,0.21,0.079,62.0,0.997,3.52,0.58,9.3,6,1,1
185,8.9,0.31,0.57,0.111,85.0,0.9971,3.26,0.53,9.7,5,1,0
186,7.4,0.39,0.48,0.082,67.0,0.9972,3.34,0.55,9.2,5,1,0
187,7.7,0.705,0.1,0.084,26.0,0.9976,3.39,0.49,9.7,5,1,0
188,7.9,0.5,0.33,0.084,143.0,0.9968,3.2,0.55,9.5,5,1,0
189,7.9,0.49,0.32,0.082,144.0,0.9968,3.2,0.55,9.5,5,1,0
190,8.2,0.5,0.35,0.077,127.0,0.9976,3.23,0.62,9.4,5,1,0
191,6.4,0.37,0.25,0.074,49.0,0.9974,3.57,0.62,9.8,6,1,1
192,6.8,0.63,0.12,0.099,126.0,0.9969,3.28,0.61,9.5,5,1,0
193,7.6,0.55,0.21,0.071,28.0,0.9964,3.28,0.55,9.7,5,1,0
194,7.6,0.55,0.21,0.071,28.0,0.9964,3.28,0.55,9.7,5,1,0
195,7.8,0.59,0.33,0.074,120.0,0.9968,3.25,0.54,9.4,5,1,0
196,7.3,0.58,0.3,0.074,55.0,0.9968,3.46,0.59,10.2,5,1,0
197,11.5,0.3,0.6,0.067,27.0,0.9981,3.11,0.97,10.1,6,1,1
198,5.4,0.835,0.08,0.046,93.0,0.9924,3.57,0.85,13.0,7,1,1
199,6.9,1.09,0.06,0.061,31.0,0.9948,3.51,0.43,11.4,4,1,0
200,9.6,0.32,0.47,0.056,24.0,0.99695,3.22,0.82,10.3,7,1,1
201,8.8,0.37,0.48,0.097,145.0,0.9975,3.04,1.03,9.3,5,1,0
202,6.8,0.5,0.11,0.075,49.0,0.99545,3.36,0.79,9.5,5,1,0
203,7.0,0.42,0.35,0.088,39.0,0.9961,3.34,0.55,9.2,5,1,0
204,7.0,0.43,0.36,0.089,37.0,0.99615,3.34,0.56,9.2,6,1,1
205,12.8,0.3,0.74,0.095,28.0,0.9994,3.2,0.77,10.8,7,1,1
206,12.8,0.3,0.74,0.095,28.0,0.9994,3.2,0.77,10.8,7,1,1
207,7.8,0.57,0.31,0.069,120.0,0.99625,3.29,0.53,9.3,5,1,0
208,7.8,0.44,0.28,0.1,95.0,0.9966,3.22,0.67,9.4,5,1,0
209,11.0,0.3,0.58,0.054,19.0,0.998,3.31,0.88,10.5,7,1,1
210,9.7,0.53,0.6,0.039,19.0,0.99585,3.3,0.86,12.4,6,1,1
211,8.0,0.725,0.24,0.083,62.0,0.99685,3.35,0.56,10.0,6,1,1
212,11.6,0.44,0.64,0.059,15.0,0.998,3.21,0.67,10.2,6,1,1
213,8.2,0.57,0.26,0.06,65.0,0.9959,3.3,0.43,10.1,5,1,0
214,7.8,0.735,0.08,0.092,41.0,0.9974,3.24,0.71,9.8,6,1,1
215,7.0,0.49,0.49,0.06,121.0,0.9974,3.34,0.76,10.5,5,1,0
216,8.7,0.625,0.16,0.101,49.0,0.9962,3.14,0.57,11.0,5,1,0
217,8.1,0.725,0.22,0.072,41.0,0.9967,3.36,0.55,9.1,5,1,0
218,7.5,0.49,0.19,0.076,44.0,0.9957,3.39,0.54,9.7,5,1,0
219,7.8,0.53,0.33,0.08,144.0,0.99655,3.3,0.6,9.5,5,1,0
220,7.8,0.34,0.37,0.082,58.0,0.9964,3.34,0.59,9.4,6,1,1
221,7.4,0.53,0.26,0.101,72.0,0.9957,3.15,0.57,9.4,5,1,0
222,6.8,0.61,0.04,0.057,10.0,0.99525,3.42,0.6,9.5,5,1,0
223,8.6,0.645,0.25,0.083,28.0,0.99815,3.28,0.6,10.0,6,1,1
224,8.4,0.635,0.36,0.089,55.0,0.99745,3.31,0.57,10.4,4,1,0
225,7.7,0.43,0.25,0.073,63.0,0.99615,3.37,0.58,10.5,6,1,1
226,8.9,0.59,0.5,0.337,81.0,0.9964,3.04,1.61,9.5,6,1,1
227,9.0,0.82,0.14,0.089,23.0,0.9984,3.39,0.63,9.8,5,1,0
228,7.7,0.43,0.25,0.073,63.0,0.99615,3.37,0.58,10.5,6,1,1
229,6.9,0.52,0.25,0.081,37.0,0.99685,3.46,0.5,11.0,5,1,0
230,5.2,0.48,0.04,0.054,106.0,0.9927,3.54,0.62,12.2,7,1,1
231,8.0,0.38,0.06,0.078,49.0,0.99625,3.37,0.52,9.9,6,1,1
232,8.5,0.37,0.2,0.09,58.0,0.998,3.34,0.7,9.6,6,1,1
233,6.9,0.52,0.25,0.081,37.0,0.99685,3.46,0.5,11.0,5,1,0
234,8.2,1.0,0.09,0.065,37.0,0.99685,3.32,0.55,9.0,6,1,1
235,7.2,0.63,0.0,0.097,38.0,0.99675,3.37,0.58,9.0,6,1,1
236,7.2,0.63,0.0,0.097,38.0,0.99675,3.37,0.58,9.0,6,1,1
237,7.2,0.645,0.0,0.097,39.0,0.99675,3.37,0.58,9.2,6,1,1
238,7.2,0.63,0.0,0.097,38.0,0.99675,3.37,0.58,9.0,6,1,1
239,8.2,1.0,0.09,0.065,37.0,0.99685,3.32,0.55,9.0,6,1,1
240,8.9,0.635,0.37,0.263,62.0,0.9971,3.0,1.09,9.3,5,1,0
241,12.0,0.38,0.56,0.093,24.0,0.99925,3.14,0.71,10.9,6,1,1
242,7.7,0.58,0.1,0.102,109.0,0.99565,3.08,0.49,9.8,6,1,1
243,15.0,0.21,0.44,0.075,24.0,1.00005,3.07,0.84,9.2,7,1,1
244,15.0,0.21,0.44,0.075,24.0,1.00005,3.07,0.84,9.2,7,1,1
245,7.3,0.66,0.0,0.084,23.0,0.9983,3.61,0.96,9.9,6,1,1
246,7.1,0.68,0.07,0.075,51.0,0.99685,3.38,0.52,9.5,5,1,0
247,8.2,0.6,0.17,0.072,73.0,0.9963,3.2,0.45,9.3,5,1,0
248,7.7,0.53,0.06,0.074,39.0,0.99615,3.35,0.48,9.8,6,1,1
249,7.3,0.66,0.0,0.084,23.0,0.9983,3.61,0.96,9.9,6,1,1
250,10.8,0.32,0.44,0.063,37.0,0.9985,3.22,0.78,10.0,6,1,1
251,7.1,0.6,0.0,0.074,34.0,0.9972,3.47,0.7,9.9,6,1,1
252,11.1,0.35,0.48,0.09,21.0,0.9986,3.17,0.53,10.5,5,1,0
253,7.7,0.775,0.42,0.092,86.0,0.9959,3.23,0.59,9.5,5,1,0
254,7.1,0.6,0.0,0.074,34.0,0.9972,3.47,0.7,9.9,6,1,1
255,8.0,0.57,0.23,0.073,119.0,0.99675,3.26,0.57,9.3,5,1,0
256,9.4,0.34,0.37,0.075,13.0,0.998,3.22,0.62,9.2,5,1,0
257,6.6,0.695,0.0,0.075,56.0,0.9968,3.49,0.67,9.2,5,1,0
258,7.7,0.41,0.76,0.611,45.0,0.9968,3.06,1.26,9.4,5,1,0
259,10.0,0.31,0.47,0.085,33.0,0.99965,3.36,0.8,10.5,7,1,1
260,7.9,0.33,0.23,0.077,45.0,0.99625,3.29,0.65,9.3,5,1,0
261,7.0,0.975,0.04,0.087,67.0,0.99565,3.35,0.6,9.4,4,1,0
262,8.0,0.52,0.03,0.07,35.0,0.99575,3.34,0.57,10.0,5,1,0
263,7.9,0.37,0.23,0.077,49.0,0.9963,3.28,0.67,9.3,5,1,0
264,12.5,0.56,0.49,0.064,27.0,0.9999,3.08,0.87,10.9,5,1,0
265,11.8,0.26,0.52,0.071,10.0,0.9968,3.2,0.72,10.2,7,1,1
266,8.1,0.87,0.0,0.096,61.0,1.00025,3.6,0.72,9.8,4,1,0
267,7.9,0.35,0.46,0.078,37.0,0.9973,3.35,0.86,12.8,8,1,1
268,6.9,0.54,0.04,0.077,27.0,0.9987,3.69,0.91,9.4,6,1,1
269,11.5,0.18,0.51,0.104,23.0,0.9996,3.28,0.97,10.1,6,1,1
270,7.9,0.545,0.06,0.087,61.0,0.9965,3.36,0.67,10.7,6,1,1
271,11.5,0.18,0.51,0.104,23.0,0.9996,3.28,0.97,10.1,6,1,1
272,10.9,0.37,0.58,0.071,65.0,0.99935,3.22,0.78,10.1,5,1,0
273,8.4,0.715,0.2,0.076,38.0,0.99735,3.31,0.64,9.4,5,1,0
274,7.5,0.65,0.18,0.088,94.0,0.99915,3.38,0.77,9.4,5,1,0
275,7.9,0.545,0.06,0.087,61.0,0.9965,3.36,0.67,10.7,6,1,1
276,6.9,0.54,0.04,0.077,27.0,0.9987,3.69,0.91,9.4,6,1,1
277,11.5,0.18,0.51,0.104,23.0,0.9996,3.28,0.97,10.1,6,1,1
278,10.3,0.32,0.45,0.073,13.0,0.9976,3.23,0.82,12.6,8,1,1
279,8.9,0.4,0.32,0.087,47.0,0.9991,3.38,0.77,10.5,7,1,1
280,11.4,0.26,0.44,0.071,19.0,0.9986,3.12,0.82,9.3,6,1,1
281,7.7,0.27,0.68,0.358,10.0,0.9972,3.25,1.08,9.9,7,1,1
282,7.6,0.52,0.12,0.067,53.0,0.9971,3.36,0.57,9.1,5,1,0
283,8.9,0.4,0.32,0.087,47.0,0.9991,3.38,0.77,10.5,7,1,1
284,9.9,0.59,0.07,0.102,71.0,1.00015,3.31,0.71,9.8,5,1,0
285,9.9,0.59,0.07,0.102,71.0,1.00015,3.31,0.71,9.8,5,1,0
286,12.0,0.45,0.55,0.073,49.0,0.9997,3.1,0.76,10.3,6,1,1
287,7.5,0.4,0.12,0.092,53.0,0.9967,3.37,0.7,10.3,6,1,1
288,8.7,0.52,0.09,0.091,49.0,0.9976,3.34,0.86,10.6,7,1,1
289,11.6,0.42,0.53,0.105,98.0,1.001,3.2,0.95,9.2,5,1,0
290,8.7,0.52,0.09,0.091,49.0,0.9976,3.34,0.86,10.6,7,1,1
291,11.0,0.2,0.48,0.343,18.0,0.9979,3.3,0.71,10.5,5,1,0
292,10.4,0.55,0.23,0.091,48.0,0.9994,3.22,0.64,10.3,6,1,1
293,6.9,0.36,0.25,0.098,16.0,0.9964,3.41,0.6,10.1,6,1,1
294,13.3,0.34,0.52,0.094,53.0,1.0014,3.05,0.81,9.5,6,1,1
295,10.8,0.5,0.46,0.073,27.0,1.0001,3.05,0.64,9.5,5,1,0
296,10.6,0.83,0.37,0.086,70.0,0.9981,3.16,0.52,9.9,5,1,0
297,7.1,0.63,0.06,0.083,29.0,0.99855,3.67,0.73,9.6,5,1,0
298,7.2,0.65,0.02,0.094,31.0,0.9993,3.67,0.8,9.7,5,1,0
299,6.9,0.67,0.06,0.08,33.0,0.99845,3.68,0.71,9.6,5,1,0
300,7.5,0.53,0.06,0.086,44.0,0.9965,3.38,0.59,10.7,6,1,1
301,11.1,0.18,0.48,0.068,15.0,0.9973,3.22,0.64,10.1,6,1,1
302,8.3,0.705,0.12,0.092,28.0,0.9994,3.51,0.72,10.0,5,1,0
303,7.4,0.67,0.12,0.186,21.0,0.996,3.39,0.54,9.5,5,1,0
304,8.4,0.65,0.6,0.112,90.0,0.9973,3.2,0.52,9.2,5,1,0
305,10.3,0.53,0.48,0.063,25.0,0.9998,3.12,0.59,9.3,6,1,1
306,7.6,0.62,0.32,0.082,54.0,0.9966,3.36,0.52,9.4,5,1,0
307,10.3,0.41,0.42,0.213,14.0,0.9994,3.19,0.62,9.5,6,1,1
